x,Curve1
7.1493e-06,0.00010182
8.338e-06,0.00010522
1.003e-05,0.00010519
1.1744e-05,0.00038168
1.4384e-05,0.00046913
1.7412e-05,0.00042826
2.091e-05,0.0010892
2.4685e-05,0.0012428
3.0218e-05,0.0020911
3.5883e-05,0.0028855
4.366e-05,0.0045822
5.2169e-05,0.0060171
6.3092e-05,0.009244
7.4465e-05,0.01214
9.23e-05,0.018344
0.0001076,0.025106
0.00013177,0.034075
0.00015457,0.044747
0.00018813,0.059737
0.0002262,0.07652
0.00027368,0.09025
0.00033522,0.10911
0.0003886,0.10999
0.00047907,0.1118
0.00057288,0.09474
0.00068098,0.07271
0.0008249,0.045017
0.0010182,0.023045
0.001189,0.011701
0.0014491,0.007365
0.0017247,0.0028705
0.0021022,0.0016772
0.0025096,0.0006564
0.0030344,0.00020469
0.0036537,0.00064
0.00435,0.00020375
0.005271,0.00010431
0.0062983,0.00013641
