x,Curve1
0.0056273,0.00010289
0.0070901,0.0001036
0.0086592,0.00013413
0.011374,0.00010364
0.014063,0.00044347
0.01763,0.00053645
0.022338,0.00067593
0.028488,0.0020317
0.035935,0.0043483
0.044833,0.006902
0.05684,0.013341
0.071678,0.024093
0.088961,0.038504
0.11274,0.055575
0.14283,0.069079
0.17811,0.07702
0.2256,0.08024
0.2798,0.0819
0.35808,0.07602
0.43942,0.071525
0.56826,0.063305
0.71958,0.055651
0.90163,0.046649
1.1299,0.042138
1.4156,0.033228
1.7924,0.027478
2.2338,0.021815
2.8289,0.019975
3.5628,0.015433
4.4638,0.01242
5.6822,0.010771
7.0822,0.008847
9.0158,0.008046
