x,Curve1
0.00036318,0.00010371
0.00043412,0.00010371
0.00052445,0.00013384
0.00064351,0.00010371
0.00074947,0.00019693
0.00091049,0.00061373
0.0011175,0.0009297
0.0013358,0.0009855
0.0015971,0.0017272
0.0019094,0.0029615
0.0023189,0.0041408
0.0027724,0.0066494
0.003332,0.010914
0.0040044,0.015149
0.0047623,0.023117
0.0058449,0.034765
0.006951,0.049322
0.0083976,0.067964
0.010092,0.0923
0.012065,0.12086
0.014574,0.1378
0.01724,0.14187
0.020715,0.12718
0.025151,0.08835
0.03053,0.035793
0.036102,0.015597
0.043826,0.007204
0.053206,0.0039349
0.061937,0.0020423
0.074408,0.0011074
0.091277,0.00044215
